"File","Hash","Size"
"KERNEL/ROOT/K000_ROOT.md","727D67086828F651FE75C6E512F8EFCCBAE200BFD30481BC0317C2189DB4EC4A","41250"
"KERNEL/FLOORS/K000_LAW.md","CD919E30A8268B6DADF9CA1EC68ED8CC3AD1AA5AE6F05B5DA2C1B49B4D126B7F","19985"
